RegEx    Token    AttVal
bool    bool_KW    -
g    VarName    -
[    Opening_Bracket    -
20    Num    20
]    Closing_Bracket    -
:    Colon    -
(    Opening_Parentheses    -
a    VarName    -
>    GreaterOP    -
b    VarName    -
and    And    -
e    VarName    -
!=    NonEqualOP    -
c    VarName    -
)    Closing_Parentheses    -
;    Semicolon    -
void    void_KW    -
2so    MethName    -
(    Opening_Parentheses    -
int    int_KW    -
a    VarName    -
;    Semicolon    -
Boolean    Boolean_KW    -
c    VarName    -
,    Comma    -
d    VarName    -
)    Closing_Parentheses    -
{    Opening_Brace    -
{    Opening_Brace    -
if    If_KW    -
(    Opening_Parentheses    -
a    VarName    -
+    Plus    -
b2    VarName    -
>    GreaterOP    -
b1    VarName    -
)    Closing_Parentheses    -
{    Opening_Brace    -
z    VarName    -
=    Equal    -
e    VarName    -
>    GreaterOP    -
c    VarName    -
or    Or    -
b    VarName    -
<    LessOP    -
a    VarName    -
and    And    -
e    VarName    -
!=    NonEqualOP    -
b    VarName    -
;    Semicolon    -
c    VarName    -
=    Equal    -
b    VarName    -
;    Semicolon    -
}    Closing_Brace    -
if    If_KW    -
(    Opening_Parentheses    -
a    VarName    -
+    Plus    -
b2    VarName    -
>    GreaterOP    -
b1    VarName    -
)    Closing_Parentheses    -
{    Opening_Brace    -
z    VarName    -
=    Equal    -
e    VarName    -
>    GreaterOP    -
c    VarName    -
or    Or    -
b    VarName    -
<    LessOP    -
a    VarName    -
and    And    -
e    VarName    -
!=    NonEqualOP    -
b    VarName    -
;    Semicolon    -
c    VarName    -
=    Equal    -
b    VarName    -
;    Semicolon    -
}    Closing_Brace    -
}    Closing_Brace    -
}    Closing_Brace    -
