RegEx    Token    AttVal
int    int_KW    -
c    VarName    -
,    Comma    -
e    VarName    -
,    Comma    -
b    VarName    -
;    Semicolon    -
int    int_KW    -
a    VarName    -
:    Colon    -
(    Opening_Parentheses    -
c    VarName    -
-    Minus    -
b    VarName    -
*    Times    -
-    Minus    -
e    VarName    -
+    Plus    -
-    Minus    -
b    VarName    -
)    Closing_Parentheses    -
;    Semicolon    -
bool    bool_KW    -
g    VarName    -
:    Colon    -
(    Opening_Parentheses    -
a    VarName    -
>    GreaterOP    -
b    VarName    -
and    And    -
e    VarName    -
!=    NonEqualOP    -
c    VarName    -
)    Closing_Parentheses    -
;    Semicolon    -
void    void_KW    -
someMethod2    VarName    -
(    Opening_Parentheses    -
int    int_KW    -
a    VarName    -
,    Comma    -
b1    VarName    -
,    Comma    -
b2    VarName    -
)    Closing_Parentheses    -
{    Opening_Brace    -
if    If_KW    -
(    Opening_Parentheses    -
a    VarName    -
+    Plus    -
b2    VarName    -
>    GreaterOP    -
b1    VarName    -
)    Closing_Parentheses    -
if    If_KW    -
(    Opening_Parentheses    -
a    VarName    -
-    Minus    -
b2    VarName    -
==    EEqual    -
b1    VarName    -
)    Closing_Parentheses    -
a    VarName    -
=    Equal    -
b    VarName    -
++    PP    -
;    Semicolon    -
other    Other_KW    -
b    VarName    -
+    Plus    -
c    VarName    -
;    Semicolon    -
}    Closing_Brace    -
