RegEx    Token    AttVal
int    int_KW    -
c    VarName    -
,    Comma    -
e    VarName    -
,    Comma    -
b    VarName    -
;    Semicolon    -
int    int_KW    -
a    VarName    -
:    Colon    -
(    Opening_Parentheses    -
-    Minus    -
(    Opening_Parentheses    -
e    VarName    -
++    PP    -
)    Closing_Parentheses    -
+    Plus    -
-    Minus    -
b    VarName    -
*    Times    -
c    VarName    -
-    Minus    -
b    VarName    -
*    Times    -
(    Opening_Parentheses    -
b    VarName    -
--    MM    -
)    Closing_Parentheses    -
)    Closing_Parentheses    -
;    Semicolon    -
